# environment=00066 local_bs=4 gain_scale=4.519987956370e-14
# ue subcarrier serving_bs phi0 phi1 phi2 phi3 phi4 gain0 gain1 gain2 gain3 gain4
3 0 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.243407807071e+00 1.348051176324e-05 4.449748218026e+01 1.850006941959e-03 1.039445910967e+04
3 1 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.115209019610e+00 5.554064169716e-06 4.267491553861e+01 1.781922816833e-03 9.697002577437e+03
3 2 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 9.249870092862e-01 2.768430244029e-06 3.824858377663e+01 1.716104973946e-03 9.102540484542e+03
3 3 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 6.979859308675e-01 5.431917324127e-06 3.806155425605e+01 1.652553444314e-03 8.597233878011e+03
3 4 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.776397643161e-01 1.332043561868e-05 3.190819589218e+01 1.591268257878e-03 8.166467657159e+03
3 5 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.947075509624e-01 2.543409663174e-05 2.932568265780e+01 1.532249443524e-03 7.807798790988e+03
3 6 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.843145780017e-01 3.963598102946e-05 2.707665937180e+01 1.475497029062e-03 7.524900771282e+03
3 7 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.574738129977e-01 5.268057374329e-05 2.183128965963e+01 1.421011041236e-03 7.323682006676e+03
3 8 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.090627898639e-01 6.095827777193e-05 2.443413054484e+01 1.368791505715e-03 7.199850301461e+03
3 9 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 3.236082459816e-01 6.179827506574e-05 1.908608569062e+01 1.318838447113e-03 7.135863933576e+03
3 10 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.714708348864e-01 5.472266639257e-05 2.424135898910e+01 1.271151888967e-03 7.114072258879e+03
3 11 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 6.209183588517e-01 4.195294898464e-05 2.080297078098e+01 1.225731853749e-03 7.133362998227e+03
3 12 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 7.429814092994e-01 2.781690871023e-05 2.469571269089e+01 1.182578362859e-03 7.192534338119e+03
3 13 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 8.097863210718e-01 1.727753614774e-05 2.461689002912e+01 1.141691436636e-03 7.279066485254e+03
3 14 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 8.148095899736e-01 1.424992895018e-05 2.447518011795e+01 1.103071094343e-03 7.386392623578e+03
3 15 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 7.591402836756e-01 2.042886253378e-05 2.705866608759e+01 1.066717354183e-03 7.507723297371e+03
3 16 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 6.503877807900e-01 3.501934056919e-05 2.381396816819e+01 1.032630233284e-03 7.639296597063e+03
3 17 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 5.109000211074e-01 5.528314000617e-05 2.572709107314e+01 1.000809747711e-03 7.782102837218e+03
3 18 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 3.578828854496e-01 7.748530308431e-05 2.278392395453e+01 9.712559124553e-04 7.923647999795e+03
3 19 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.254854017668e-01 9.780552434565e-05 2.103649742839e+01 9.439687414464e-04 8.057481169766e+03
3 20 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.315886872190e-01 1.130041256712e-04 2.038051401880e+01 9.189482475417e-04 8.192813591229e+03
3 21 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 9.333540590048e-02 1.208837056051e-04 1.603342917548e+01 8.961944425318e-04 8.331092706334e+03
3 22 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.121434280657e-01 1.206689583295e-04 1.683626711338e+01 8.757073371384e-04 8.467162262260e+03
3 23 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.777676599214e-01 1.133030058679e-04 1.323555251896e+01 8.574869410156e-04 8.595072438221e+03
3 24 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.791569848455e-01 1.014684581502e-04 1.412121818138e+01 8.415332627497e-04 8.704051719057e+03
3 25 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 3.897398316781e-01 8.908567642021e-05 1.345955113180e+01 8.278463098583e-04 8.793775726365e+03
3 26 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.903546814428e-01 8.022426560810e-05 1.336465494348e+01 8.164260887910e-04 8.878620546919e+03
3 27 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 5.631525156072e-01 7.770901699313e-05 1.588076308800e+01 8.072726049294e-04 8.956478117026e+03
3 28 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 5.840891675268e-01 8.199001141758e-05 1.444696290057e+01 8.003858625869e-04 9.011835613141e+03
3 29 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 5.573865162721e-01 9.086157942965e-05 1.856717802460e+01 7.957658650085e-04 9.045456364325e+03
3 30 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.974161620461e-01 1.002895769732e-04 1.692113125577e+01 7.934126143714e-04 9.065922554162e+03
3 31 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.069953790322e-01 1.060821492915e-04 1.963326357186e+01 7.933261117846e-04 9.086831436474e+03
3 32 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 3.201818258662e-01 1.056933820529e-04 1.968901333215e+01 7.955063572886e-04 9.115900192317e+03
3 33 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.393336611154e-01 9.933693593088e-05 1.884473148643e+01 7.999533498563e-04 9.132794818112e+03
3 34 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.715872530165e-01 8.988890234922e-05 2.046300422797e+01 8.066670873920e-04 9.124678104662e+03
3 35 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.341279419596e-01 8.162950147057e-05 1.731815699469e+01 8.156475667322e-04 9.097705266301e+03
3 36 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.268683861645e-01 7.841624176111e-05 1.829638233031e+01 8.268947836447e-04 9.050105414600e+03
3 37 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 1.614129708454e-01 8.211646298384e-05 1.611114505927e+01 8.404087328298e-04 8.987221742664e+03
3 38 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 2.322882362817e-01 9.194633541640e-05 1.510315504938e+01 8.561894079193e-04 8.917213102474e+03
3 39 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 3.248778812648e-01 1.048868333092e-04 1.595122450448e+01 8.742368014770e-04 8.833089730864e+03
3 40 4 0.56577564 0.62057513 1.54455111 0.66699181 7.55196815 4.292043930399e-01 1.168482692125e-04 1.371856140518e+01 8.945509049984e-04 8.732748807518e+03
